cas,smiles,canonical_smiles
516-05-2,O=C(O)C(C(=O)O)C,CC(C(=O)O)C(=O)O
586-89-0,O=C(O)C1=CC=C(C=C1)C(=O)C,CC(=O)c1ccc(C(=O)O)cc1
118-41-2,O=C(O)C1=CC(OC)=C(OC)C(OC)=C1,COc1cc(C(=O)O)cc(OC)c1OC
89-86-1,O=C(O)C1=CC=C(O)C=C1O,O=C(O)c1ccc(O)cc1O
65-49-6,O=C(O)C1=CC=C(N)C=C1O,Nc1ccc(C(=O)O)c(O)c1
7254-19-5,O=C(O)C1=CC=2C=C(Br)C=CC2N1,O=C(O)c1cc2cc(Br)ccc2[nH]1
556-33-2,O=C(O)CNC(=O)CNC(=O)CN,NCC(=O)NCC(=O)NCC(=O)O
10349-57-2,O=C(O)C1=CC=C2N=CC=CC2=C1,O=C(O)c1ccc2ncccc2c1
302-72-7,O=C(O)C(N)C,CC(N)C(=O)O
1118-68-9,O=C(O)CN(C)C,CN(C)CC(=O)O
617-62-9,O=C(O)CCC(C(=O)O)C,CC(CCC(=O)O)C(=O)O
636-61-3,O=C(O)CC(O)C(=O)O,O=C(O)CC(O)C(=O)O
632-20-2,O=C(O)C(N)C(O)C,CC(O)C(N)C(=O)O
110-94-1,O=C(O)CCCC(=O)O,O=C(O)CCCC(=O)O
98-89-5,O=C(O)C1CCCCC1,O=C(O)C1CCCCC1
88-14-2,O=C(O)C=1OC=CC1,O=C(O)c1ccco1
499-83-2,O=C(O)C=1N=C(C=CC1)C(=O)O,O=C(O)c1cccc(C(=O)O)n1
99-05-8,O=C(O)C=1C=CC=C(N)C1,Nc1cccc(C(=O)O)c1
93-09-4,O=C(O)C=1C=CC=2C=CC=CC2C1,O=C(O)c1ccc2ccccc2c1
552-16-9,O=C(O)C=1C=CC=CC1N(=O)=O,O=C(O)c1ccccc1[N+](=O)[O-]
446-08-2,O=C(O)C1=CC(F)=CC=C1N,Nc1ccc(F)cc1C(=O)O
127-17-3,O=C(O)C(=O)C,CC(=O)C(=O)O
541-48-0,O=C(O)CC(N)C,CC(N)CC(=O)O
456-22-4,O=C(O)C1=CC=C(F)C=C1,O=C(O)c1ccc(F)cc1
56-69-9,O=C(O)C(N)CC1=CNC=2C=CC(O)=CC21,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O
97-61-0,O=C(O)C(C)CCC,CCCC(C)C(=O)O
492-37-5,O=C(O)C(C=1C=CC=CC1)C,CC(C(=O)O)c1ccccc1
2612-02-4,O=C(O)C1=CC(OC)=CC=C1O,COc1ccc(O)c(C(=O)O)c1
99-06-9,O=C(O)C=1C=CC=C(O)C1,O=C(O)c1cccc(O)c1
4350-09-8,O=C(O)C(N)CC1=CNC=2C=CC(O)=CC21,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O
116-53-0,O=C(O)C(C)CC,CCC(C)C(=O)O
577-56-0,O=C(O)C=1C=CC=CC1C(=O)C,CC(=O)c1ccccc1C(=O)O
619-04-5,O=C(O)C1=CC=C(C(=C1)C)C,Cc1ccc(C(=O)O)cc1C
97-65-4,O=C(O)C(=C)CC(=O)O,C=C(CC(=O)O)C(=O)O
536-66-3,O=C(O)C1=CC=C(C=C1)C(C)C,CC(C)c1ccc(C(=O)O)cc1
83-40-9,O=C(O)C1=CC=CC(=C1O)C,Cc1cccc(C(=O)O)c1O
1466-76-8,O=C(O)C=1C(OC)=CC=CC1OC,COc1cccc(OC)c1C(=O)O
17199-29-0,O=C(O)C(O)C=1C=CC=CC1,O=C(O)C(O)c1ccccc1
1878-66-6,O=C(O)CC1=CC=C(Cl)C=C1,O=C(O)Cc1ccc(Cl)cc1
635-21-2,O=C(O)C1=CC(Cl)=CC=C1N,Nc1ccc(Cl)cc1C(=O)O
20776-50-5,O=C(O)C1=CC=C(Br)C=C1N,Nc1cc(Br)ccc1C(=O)O
104-03-0,O=C(O)CC1=CC=C(C=C1)N(=O)=O,O=C(O)Cc1ccc([N+](=O)[O-])cc1
96-97-9,O=C(O)C1=CC(=CC=C1O)N(=O)=O,O=C(O)c1cc([N+](=O)[O-])ccc1O
527-72-0,O=C(O)C=1SC=CC1,O=C(O)c1cccs1
34592-47-7,O=C(O)C1NCSC1,O=C(O)C1CSCN1
16694-18-1,O=C(O)C=1SC=C(Br)C1,O=C(O)c1cc(Br)cs1
94-53-1,O=C(O)C1=CC=C2OCOC2=C1,O=C(O)c1ccc2c(c1)OCO2
94-75-7,O=C(O)COC1=CC=C(Cl)C=C1Cl,O=C(O)COc1ccc(Cl)cc1Cl
79-09-4,O=C(O)CC,CCC(=O)O
4839-46-7,O=C(O)CC(C)(C)CC(=O)O,CC(C)(CC(=O)O)CC(=O)O
111-20-6,O=C(O)CCCCCCCCC(=O)O,O=C(O)CCCCCCCCC(=O)O
50-30-6,O=C(O)C=1C(Cl)=CC=CC1Cl,O=C(O)c1c(Cl)cccc1Cl
535-80-8,O=C(O)C=1C=CC=C(Cl)C1,O=C(O)c1cccc(Cl)c1
89-77-0,O=C(O)C1=CC=C(Cl)C=C1N,Nc1cc(Cl)ccc1C(=O)O
394-31-0,O=C(O)C1=CC(O)=CC=C1N,Nc1ccc(O)cc1C(=O)O
91-40-7,O=C(O)C=1C=CC=CC1NC=2C=CC=CC2,O=C(O)c1ccccc1Nc1ccccc1
2835-81-6,O=C(O)C(N)CC,CCC(N)C(=O)O
1132-21-4,O=C(O)C=1C=C(OC)C=C(OC)C1,COc1cc(OC)cc(C(=O)O)c1
934-60-1,O=C(O)C=1N=C(C=CC1)C,Cc1cccc(C(=O)O)n1
2941-78-8,O=C(O)C1=CC(=CC=C1N)C,Cc1ccc(N)c(C(=O)O)c1
7311-63-9,O=C(O)C=1SC(Br)=CC1,O=C(O)c1ccc(Br)s1
65-86-1,O=C1C=C(NC(=O)N1)C(=O)O,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
122-59-8,O=C(O)COC=1C=CC=CC1,O=C(O)COc1ccccc1
585-76-2,O=C(O)C=1C=CC=C(Br)C1,O=C(O)c1cccc(Br)c1
