cas,smiles,canonical_smiles
395-33-5,O=C(O)C(O)C1=CC=C(F)C=C1,O=C(O)C(O)c1ccc(F)cc1
15115-58-9,O=C(O)CCC=1C=CC=CC1Br,O=C(O)CCc1ccccc1Br
1798-11-4,O=C(O)COC1=CC=C(C=C1)N(=O)=O,O=C(O)COc1ccc([N+](=O)[O-])cc1
1730-91-2,O=C(O)C(C)CC,CCC(C)C(=O)O
3695-73-6,O=C(O)C(NC(=O)CN)C,CC(NC(=O)CN)C(=O)O
67-21-0,O=C(O)C(N)CCSCC,CCSCCC(N)C(=O)O
15959-93-0,O=C(O)C(N)CC(F)(F)F,NC(CC(F)(F)F)C(=O)O
10502-44-0,O=C(O)C(O)C1=CC=C(OC)C=C1,COc1ccc(C(O)C(=O)O)cc1
2613-89-0,O=C(O)C(C(=O)O)C=1C=CC=CC1,O=C(O)C(C(=O)O)c1ccccc1
506-21-8,O=C(O)CCCCCCCC=CCC=CCCCCC,CCCCCC=CCC=CCCCCCCCC(=O)O
652-34-6,O=C(O)C1=C(F)C(F)=C(O)C(F)=C1F,O=C(O)c1c(F)c(F)c(O)c(F)c1F
5930-93-8,O=C(O)C1=CC(=CN1)N(=O)=O,O=C(O)c1cc([N+](=O)[O-])c[nH]1
3987-53-9,O=C(O)CN(CC(=O)O)CC=1C=CC=CC1,O=C(O)CN(CC(=O)O)Cc1ccccc1
601-79-6,O=C(O)C(C(=O)O)C(C)C,CC(C)C(C(=O)O)C(=O)O
25055-86-1,O=C(O)CCC1(N=N1)C,CC1(CCC(=O)O)N=N1
5657-17-0,O=C(O)CNCCNCC(=O)O,O=C(O)CNCCNCC(=O)O
16034-49-4,O=C(O)CN1N=C(C=C1C)C,Cc1cc(C)n(CC(=O)O)n1
13921-90-9,O=C(O)CC(N)C=1C=CC=CC1,NC(CC(=O)O)c1ccccc1
7164-43-4,O=C(O)C=1NC(=O)NC(=O)C1N,Nc1c(C(=O)O)[nH]c(=O)[nH]c1=O
1798-82-9,O=C(O)C1=CC=C(C=C1)C2CC2,O=C(O)c1ccc(C2CC2)cc1
6924-66-9,O=C(O)C=1C=CC=C2N=CC=NC21,O=C(O)c1cccc2nccnc12
1013-04-3,O=C(O)C1=CC=C(Cl)C=2C=CC=CC12,O=C(O)c1ccc(Cl)c2ccccc12
471-25-0,O=C(O)C#C,C#CC(=O)O
22426-30-8,N#CC(C(=O)O)(C)C,CC(C)(C#N)C(=O)O
3739-30-8,O=C(O)C(O)(C)CC,CCC(C)(O)C(=O)O
14542-16-6,O=C(O)C1=NC(=CS1)C,Cc1csc(C(=O)O)n1
1457-59-6,O=C(O)C=1NC=NC1C,Cc1nc[nH]c1C(=O)O
652-32-4,O=C(O)C1=C(F)C(F)=C(C(F)=C1F)C,Cc1c(F)c(F)c(C(=O)O)c(F)c1F
3235-67-4,O=C(O)CN1CCCCC1,O=C(O)CN1CCCCC1
3959-23-7,O=C(O)CS(=O)(=O)C=1C=CC=CC1,O=C(O)CS(=O)(=O)c1ccccc1
4165-96-2,O=C(O)CC(C=1C=CC=CC1)CC(=O)O,O=C(O)CC(CC(=O)O)c1ccccc1
3775-72-2,O=C(O)CC(N)C,CC(N)CC(=O)O
80-69-3,O=C(O)C(O)C(=O)O,O=C(O)C(O)C(=O)O
13073-35-3,O=C(O)C(N)CCSCC,CCSCCC(N)C(=O)O
56961-31-0,O=C(O)C=1C(Cl)=CC=CC1O,O=C(O)c1c(O)cccc1Cl
24195-03-7,O=C(O)C1=NC=CC(=C1)C(=O)OC,COC(=O)c1ccnc(C(=O)O)c1
76-04-0,O=C(O)C(F)(F)Cl,O=C(O)C(F)(F)Cl
14282-78-1,O=C(O)C=1SC=C(C1)C,Cc1csc(C(=O)O)c1
1878-81-5,O=C(O)COC1=CC=C(C=C1)C(=O)C,CC(=O)c1ccc(OCC(=O)O)cc1
15448-77-8,O=C(O)C12CCC(C(=O)OC)(CC1)C2,COC(=O)C12CCC(C(=O)O)(CC1)C2
7498-54-6,O=C(O)C1=CC=CC(=C1)C(C)(C)C,CC(C)(C)c1cccc(C(=O)O)c1
15785-54-3,O=C(O)C1=CC(OC)=C(O)C(=C1)N(=O)=O,COc1cc(C(=O)O)cc([N+](=O)[O-])c1O
1878-88-2,O=C(O)COC1=CC=CC(=C1)N(=O)=O,O=C(O)COc1cccc([N+](=O)[O-])c1
75-75-2,O=S(=O)(O)C,CS(=O)(=O)O
107-35-7,O=S(=O)(O)CCN,NCCS(=O)(=O)O
121-57-3,O=S(=O)(O)C1=CC=C(N)C=C1,Nc1ccc(S(=O)(=O)O)cc1
636-73-7,O=S(=O)(O)C=1C=NC=CC1,O=S(=O)(O)c1cccnc1
98-71-5,O=S(=O)(O)C1=CC=C(C=C1)NN,NNc1ccc(S(=O)(=O)O)cc1
88-21-1,O=S(=O)(O)C=1C=CC=CC1N,Nc1ccccc1S(=O)(=O)O
121-47-1,O=S(=O)(O)C=1C=CC=C(N)C1,Nc1cccc(S(=O)(=O)O)c1
15103-48-7,O=S(=O)(O)C1=NC=CC=C1,O=S(=O)(O)c1ccccn1
82-75-7,O=S(=O)(O)C1=CC=CC=2C=CC=C(N)C21,Nc1cccc2cccc(S(=O)(=O)O)c12
119-79-9,O=S(=O)(O)C=1C=CC=2C(N)=CC=CC2C1,Nc1cccc2cc(S(=O)(=O)O)ccc12
84-86-6,O=S(=O)(O)C1=CC=C(N)C=2C=CC=CC21,Nc1ccc(S(=O)(=O)O)c2ccccc12
81-05-0,O=S(=O)(O)C1=CC=CC2=CC(N)=CC=C21,Nc1ccc2c(S(=O)(=O)O)cccc2c1
104-15-4,O=S(=O)(O)C1=CC=C(C=C1)C,Cc1ccc(S(=O)(=O)O)cc1
84-89-9,O=S(=O)(O)C=1C=CC=C2C(N)=CC=CC21,Nc1cccc2c(S(=O)(=O)O)cccc12
81-16-3,O=S(=O)(O)C1=C(N)C=CC=2C=CC=CC21,Nc1ccc2ccccc2c1S(=O)(=O)O
93-00-5,O=S(=O)(O)C1=CC=C2C=C(N)C=CC2=C1,Nc1ccc2cc(S(=O)(=O)O)ccc2c1
119-28-8,O=S(=O)(O)C=1C=CC=2C=CC=C(N)C2C1,Nc1cccc2ccc(S(=O)(=O)O)cc12
5402-20-0,O=S(=O)(O)C=1C=CN=CC1,O=S(=O)(O)c1ccncc1
98-33-9,O=S(=O)(O)C1=CC=C(N)C(=C1)C,Cc1cc(S(=O)(=O)O)ccc1N
138-30-7,O=S(=O)(O)C=1C=CC=C(C1)NN,NNc1cccc(S(=O)(=O)O)c1
68922-18-9,O=S(=O)(O)CCC1=NC=CC=C1,O=S(=O)(O)CCc1ccccn1
29021-67-8,O=S(=O)(O)C=1C=CC(O)=C2N=C(C=CC21)C,Cc1ccc2c(S(=O)(=O)O)ccc(O)c2n1
618-03-1,O=S(=O)(O)C1=CC=C(C(N)=C1)C,Cc1ccc(S(=O)(=O)O)cc1N
494-44-0,O=S(=O)(O)C1=CC=C2C=CC(N)=CC2=C1,Nc1ccc2ccc(S(=O)(=O)O)cc2c1
145-48-2,O=C1C=2C=CC=CC2C(=O)C3=C(O)C(=CC(O)=C13)S(=O)(=O)O,O=C1c2ccccc2C(=O)c2c(O)c(S(=O)(=O)O)cc(O)c21
87655-41-2,O=S(=O)(O)C1=CC=C(N=C1C)C,Cc1ccc(S(=O)(=O)O)c(C)n1
3062-37-1,O=S(=O)(O)C=1C=C(Br)C(O)=C2N=CC=CC21,O=S(=O)(O)c1cc(Br)c(O)c2ncccc12
81-06-1,O=S(=O)(O)C=1C=CC=2C=CC=CC2C1N,Nc1c(S(=O)(=O)O)ccc2ccccc12
3343-41-7,O=S(=O)(O)C(O)C1=NC=CC=C1,O=S(=O)(O)C(O)c1ccccn1
15851-63-5,O=N(=O)C1=CC(=C2C=CC=NC2=C1O)S(=O)(=O)O,O=[N+]([O-])c1cc(S(=O)(=O)O)c2cccnc2c1O
37026-33-8,O=N(=O)C1=CC(=C2C=CC(=NC2=C1O)C)S(=O)(=O)O,Cc1ccc2c(S(=O)(=O)O)cc([N+](=O)[O-])c(O)c2n1
134-54-3,O=S(=O)(O)C=1C=C(N)C=2C=CC=CC2C1,Nc1cc(S(=O)(=O)O)cc2ccccc12
4872-28-0,O=S(=O)(O)C(O)C=1C=CN=CC1,O=S(=O)(O)C(O)c1ccncc1
5807-21-6,O=C1C=C(NC(=O)N1)S(=O)(=O)O,O=c1cc(S(=O)(=O)O)[nH]c(=O)[nH]1
