cas,smiles
81239-45-4,O=S(=O)([O-])CCC[N+](C)(C)CC=1C=CC=CC1
88-20-0,O=S(=O)(O)C=1C=CC=CC1C
5402-20-0,O=S(=O)(O)C=1C=CN=CC1
118-88-7,O=S(=O)(O)C1=CC(N)=CC=C1C
6470-17-3,O=S(=O)(O)C1=CC(N)=CC=C1OC
6331-96-0,O=S(=O)(O)C1=CC(Cl)=C(Cl)C=C1N
88-23-3,O=S(=O)(O)C=1C=C(Cl)C=C(N)C1O
73463-39-5,O=S(=O)(O)CC(O)CNC1CCCCC1
90-51-7,O=S(=O)(O)C1=CC(O)=C2C=C(N)C=CC2=C1
6613-64-5,O=S(=O)([O-])CCC[N+]=1C=CC=CC1C=C
120-18-3,O=S(=O)(O)C=1C=CC=2C=CC=CC2C1
98-36-2,O=S(=O)(O)C1=CC=C(Cl)C(N)=C1
152305-87-8,O=C(ON1C(=O)CC(C1=O)S(=O)(=O)O)C
85-48-3,O=S(=O)(O)C1=CC=CC2=CC=CN=C21
117-61-3,O=S(=O)(O)C=1C=C(N)C=CC1C2=CC=C(N)C=C2S(=O)(=O)O
96-67-3,O=N(=O)C1=CC(N)=C(O)C(=C1)S(=O)(=O)O
1184-90-3,O=S(=O)(O)C(=N)N
21668-77-9,O=S(=O)(O)CCCS(=O)(=O)O
88-51-7,O=S(=O)(O)C1=CC(=C(Cl)C=C1N)C
68399-78-0,O=S(=O)(O)CC(O)CN1CCN(CCO)CC1
117-62-4,O=S(=O)(O)C1=CC=CC=2C1=CC=C(N)C2S(=O)(=O)O
118-03-6,O=S(=O)(O)C1=CC2=CC(=C(N)C=C2C(=C1)S(=O)(=O)O)S(=O)(=O)O
570412-84-9,O=S(=O)([O-])CCC[N+]1=CC=C(C=C1)C(C)(C)C
3637-26-1,O=C(OCC[N+](C)(C)CCCS(=O)(=O)[O-])C(=C)C
133-78-8,O=S(=O)(O)C1=CC=C(N)C=C1C
4808-71-3,O=S(=O)(O)C=1C=NC=CC1C
121-03-9,O=N(=O)C1=CC=C(C(=C1)S(=O)(=O)O)C
88-22-2,O=S(=O)(O)C=1C=C(C=C(C1N)C)C
6471-78-9,O=S(=O)(O)C1=CC(OC)=C(N)C=C1C
4272-77-9,O=S(=O)(O)C1=CC=CC=2C1=CC=CC2N(C)C
68399-80-4,O=S(=O)(O)CC(O)CN(CCO)CCO
117-59-9,O=S(=O)(O)C=1C=CC=C2C(O)=CC=CC21
119-70-0,O=S(=O)(O)C1=CC(N)=CC=C1NC2=CC=C(N)C=C2
5857-42-1,O=S(=O)(O)C1=CC=C(OC)C=C1
138-36-3,O=S(=O)(O)C1=CC=C(Br)C=C1
21668-81-5,O=S(=O)(O)CCCSC(=N)N
53054-76-5,O=S(=O)(O)CCC=1C=CN=CC1
146368-07-2,O=S(=O)([O-])C=1C=CC2=C(C1)C(C(=[N+]2CC)C)(C)C
4808-70-2,O=S(=O)(O)C=1C=NC=C(C1)C
98-33-9,O=S(=O)(O)C1=CC=C(N)C(=C1)C
7474-78-4,O=S(=O)(O)C1=CC=C(N)C(N)=C1
5363-54-2,O=CC1=CC=C(C=C1)S(=O)(=O)O
88-45-9,O=S(=O)(O)C1=CC(N)=CC=C1N
5533-38-0,O=S(=O)(O)C1=NC=2C=CC=CC2N1C
81-04-9,O=S(=O)(O)C=1C=CC=C2C1C=CC=C2S(=O)(=O)O
88-43-7,O=S(=O)(O)C1=CC(N)=CC=C1Cl
