cas,smiles,input_canonical_smiles,pka_value,canonical_smiles,MW,logP,TPSA,HBA,HBD,rotatable_bonds,aromatic_rings,FractionCSP3,formal_charge,acid_type,acid_group_count,acid_center_aromatic_flag,local_heteroatom_count,local_halogen_count,nearest_heteroatom_distance,local_conjugation,local_formal_charge,error,polar,h_nbo_charge,o_nbo_charge,total_nbo_charge,dipole_moment_debye,homo_ev,lumo_ev,gap_ev
60-32-2,O=C(O)CCCCCN,NCCCCCC(=O)O,10.808,NCCCCCC(=O)O,131.175,0.5901,63.32,2,2,5,0,0.833333,0,0,1,0,1,0,2,1,0,,117.66956733333335,0.52409,-0.71459,-0.03142999999999996,2.899317542112281,-8.2806965845655,0.9537590460024999,9.234455630568
99-96-7,O=C(O)C1=CC=C(O)C=C1,O=C(O)c1ccc(O)cc1,4.566666666666666,O=C(O)c1ccc(O)cc1,138.122,1.0904,57.53,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,,132.7737728,0.52797,-0.70874,-0.04441000000000006,2.589143597794452,-8.126408031332,-0.3066723095135,7.8197357218185
99-50-3,O=C(O)C1=CC=C(O)C(O)=C1,O=C(O)c1ccc(O)c(O)c1,4.3755,O=C(O)c1ccc(O)c(O)c1,154.121,0.796,77.76,3,3,1,1,0.0,0,0,1,0,1,0,2,1,0,,139.90771886666667,0.52818,-0.70685,-0.03952,3.558718041654888,-7.802048321536,-0.3431355654805,7.4589127560555
1621-91-6,O=C(O)C1=NNC=C1,O=C(O)c1cc[nH]n1,3.74,O=C(O)c1cc[nH]n1,112.088,0.1079,65.98,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,,89.15997416666666,0.52943,-0.69653,-0.02972000000000008,4.969618903899976,-8.936763078121,-0.089253342964,8.847509735157
107-95-9,O=C(O)CCN,NCCC(=O)O,10.2552,NCCC(=O)O,89.094,-0.5802,63.32,2,2,2,0,0.666667,0,0,1,0,1,0,2,1,0,,69.65488336666667,0.52544,-0.71324,-0.02906999999999993,2.639467741799471,-8.529136530072,0.950221565946,9.479358096018
331-39-5,O=C(O)C=CC1=CC=C(O)C(O)=C1,O=C(O)C=Cc1ccc(O)c(O)c1,4.555,O=C(O)C=Cc1ccc(O)c(O)c1,180.159,1.1956,77.76,3,3,2,1,0.0,0,0,1,0,1,0,2,1,0,,193.42439766666666,0.52492,-0.71141,-0.08673999999999993,2.10554772921442,-7.408571693713,-0.880016192517,6.528555501196
97-67-6,O=C(O)CC(O)C(=O)O,O=C(O)CC(O)C(=O)O,3.22725,O=C(O)CC(O)C(=O)O,134.087,-1.0934,94.83,3,3,3,0,0.5,0,0,2,0,2,0,4,2,0,,85.06147453333334,0.53269,-0.70369,-0.005565000000000042,4.727286745057888,-9.7582747927805,0.7861369140945,10.544411706875
50-78-2,O=C(O)C=1C=CC=CC1OC(=O)C,CC(=O)Oc1ccccc1C(=O)O,3.38,CC(=O)Oc1ccccc1C(=O)O,180.159,1.3101,63.6,3,1,2,1,0.111111,0,0,1,0,1,0,2,1,0,,162.5380683333333,0.53042,-0.70164,-0.0014399999999999968,3.8183182698669844,-8.8085974545355,-0.5771534769105,8.231443977625
556-50-3,O=C(O)CNC(=O)CN,NCC(=O)NCC(=O)O,8.231928571428572,NCC(=O)NCC(=O)O,132.119,-1.8541,92.42,3,3,3,0,0.5,0,0,1,0,1,0,2,1,0,,96.91974506666666,0.53015,-0.70755,-0.011430000000000051,6.207325418406868,-8.6888673603155,0.839199114942,9.5280664752575
123-99-9,O=C(O)CCCCCCCC(=O)O,O=C(O)CCCCCCCC(=O)O,4.56,O=C(O)CCCCCCCC(=O)O,188.223,1.8863,74.6,2,2,8,0,0.777778,0,0,2,0,2,0,4,2,0,,161.12741666666668,0.52475,-0.71498,-0.0298449999999999,3.268735287538592,-9.64371486172,0.9657320554245,10.6094469171445
