cas,smiles,input_canonical_smiles,pka_value,canonical_smiles,MW,logP,TPSA,HBA,HBD,rotatable_bonds,aromatic_rings,FractionCSP3,formal_charge,acid_type,acid_group_count,acid_center_aromatic_flag,local_heteroatom_count,local_halogen_count,nearest_heteroatom_distance,local_conjugation,local_formal_charge,error,polar,h_nbo_charge,o_nbo_charge,total_nbo_charge,dipole_moment_debye,homo_ev,lumo_ev,gap_ev
97-67-6,O=C(O)CC(O)C(=O)O,O=C(O)CC(O)C(=O)O,3.22725,O=C(O)CC(O)C(=O)O,134.087,-1.0934,94.83,3,3,3,0,0.5,0,0,2,0,2,0,4,2,0,,85.06147453333334,0.53269,-0.70369,-0.005565,4.727286745057888,-9.7582747927805,0.7861369140945,10.544411706875
50-78-2,O=C(O)C=1C=CC=CC1OC(=O)C,CC(=O)Oc1ccccc1C(=O)O,3.38,CC(=O)Oc1ccccc1C(=O)O,180.159,1.3101,63.6,3,1,2,1,0.111111,0,0,1,0,1,0,2,1,0,,162.5380683333333,0.53042,-0.70164,-0.0014399999999999,3.818318269866984,-8.8085974545355,-0.5771534769105,8.231443977625
123-99-9,O=C(O)CCCCCCCC(=O)O,O=C(O)CCCCCCCC(=O)O,4.56,O=C(O)CCCCCCCC(=O)O,188.223,1.8863,74.6,2,2,8,0,0.777778,0,0,2,0,2,0,4,2,0,,161.12741666666668,0.52475,-0.71498,-0.0298449999999999,3.268735287538592,-9.64371486172,0.9657320554245,10.6094469171445
490-79-9,O=C(O)C1=CC(O)=CC=C1O,O=C(O)c1cc(O)ccc1O,2.9655,O=C(O)c1cc(O)ccc1O,154.121,0.796,77.76,3,3,1,1,0.0,0,0,1,0,1,0,2,1,0,,138.72973046666667,0.54269,-0.72334,-0.0191099999999999,1.6906803512195911,-7.546261302066,-0.5619151012825001,6.9843462007835
89-00-9,O=C(O)C1=NC=CC=C1C(=O)O,O=C(O)c1cccnc1C(=O)O,4.75,O=C(O)c1cccnc1C(=O)O,167.12,0.478,87.49,3,2,2,1,0.0,0,0,2,0,2,0,4,2,0,,137.82111076666666,0.5368,-0.69334,0.02222,2.735304955576252,-9.260034332515,-0.8051848836295,8.454849448885499
55-22-1,O=C(O)C=1C=CN=CC1,O=C(O)c1ccncc1,4.876666666666666,O=C(O)c1ccncc1,123.111,0.7798,50.19,2,1,1,1,0.0,0,0,1,0,1,0,2,1,0,,112.76743976666668,0.53319,-0.6951,0.00729,2.8886713935648687,-9.0371730889555,-0.938248556524,8.0989245324315
124-04-9,O=C(O)CCCCC(=O)O,O=C(O)CCCCC(=O)O,4.386666666666667,O=C(O)CCCCC(=O)O,146.142,0.716,74.6,2,2,5,0,0.666667,0,0,2,0,2,0,4,2,0,,111.83259466666668,0.52527,-0.71493,-0.0267399999999999,5.211295290040663,-9.7038520226805,0.9162073346335,10.620059357314
149-91-7,O=C(O)C1=CC(O)=C(O)C(O)=C1,O=C(O)c1cc(O)c(O)c(O)c1,4.27,O=C(O)c1cc(O)c(O)c(O)c1,170.12,0.5016,97.99,4,4,1,1,0.0,0,0,1,0,1,0,2,1,0,,145.925735,0.5289,-0.70576,-0.0333299999999999,3.0252920520174573,-7.831980845091,-0.356469144155,7.475511700936001
634-97-9,O=C(O)C1=CC=CN1,O=C(O)c1ccc[nH]1,4.475,O=C(O)c1ccc[nH]1,111.1,0.7129,53.09,1,2,1,1,0.0,0,0,1,0,1,0,2,1,0,,103.27105563333332,0.52734,-0.70614,-0.08067,1.98125827695432,-7.9547041916665,-0.03809593907,7.9166082525965
121-34-6,O=C(O)C1=CC=C(O)C(OC)=C1,COc1cc(C(=O)O)ccc1O,4.49,COc1cc(C(=O)O)ccc1O,168.148,1.099,66.76,3,2,2,1,0.125,0,0,1,0,1,0,2,1,0,,156.8445025,0.52788,-0.70774,-0.04233,1.6292289372583584,-7.7315708342565,-0.336332719218,7.3952381150385
611-71-2,O=C(O)C(O)C=1C=CC=CC1,O=C(O)C(O)c1ccccc1,3.165,O=C(O)C(O)c1ccccc1,152.149,0.8046,57.53,2,2,2,1,0.125,0,0,1,0,1,0,2,1,0,,142.681626,0.53102,-0.70296,0.0029199999999999,5.048105499095676,-8.501108803470501,0.4209601267234999,8.922068930194001
100-09-4,O=C(O)C1=CC=C(OC)C=C1,COc1ccc(C(=O)O)cc1,4.2783750000000005,COc1ccc(C(=O)O)cc1,152.149,1.3934,46.53,2,1,2,1,0.125,0,0,1,0,1,0,2,1,0,,150.52139206666666,0.52774,-0.7086,-0.04536,3.30176698299562,-8.0107596448695,-0.306400195663,7.704359449206501
99-10-5,O=C(O)C=1C=C(O)C=C(O)C1,O=C(O)c1cc(O)cc(O)c1,4.039,O=C(O)c1cc(O)cc(O)c1,154.121,0.796,77.76,3,3,1,1,0.0,0,0,1,0,1,0,2,1,0,,137.31474103333332,0.53046,-0.70139,-0.0150399999999998,2.8388656061885,-7.8986487384635,-0.5515747749635,7.3470739635
98-98-6,O=C(O)C1=NC=CC=C1,O=C(O)c1ccccn1,5.4,O=C(O)c1ccccn1,123.111,0.7798,50.19,2,1,1,1,0.0,0,0,1,0,1,0,2,1,0,,113.26828023333331,0.53188,-0.70029,-0.0163699999999999,6.377203043654797,-9.1198956995075,-0.7491294304264999,8.370766269081
86-87-3,O=C(O)CC1=CC=CC=2C=CC=CC21,O=C(O)Cc1cccc2ccccc12,4.23,O=C(O)Cc1cccc2ccccc12,186.21,2.4669,37.3,1,1,2,2,0.083333,0,0,1,0,1,0,2,1,0,,216.37776166666663,0.52836,-0.70449,-0.0073499999999998,2.561056820923737,-7.4594569837565,-0.2506168563105,7.208840127446
6089-09-4,O=C(O)CCC#C,C#CCCC(=O)O,4.2,C#CCCC(=O)O,98.101,0.4844,37.3,1,1,2,0,0.4,0,0,1,0,1,0,2,1,0,,82.15960986666666,0.52823,-0.70973,-0.01851,2.978393879257745,-9.316634013419,0.7964772404135,10.1131112538325
