Smiles,pKa,predicted_pKa,canonical_smiles,MW,logP,TPSA,HBA,HBD,rotatable_bonds,aromatic_rings,FractionCSP3,formal_charge,acid_type,acid_group_count,acid_center_aromatic_flag,local_heteroatom_count,local_halogen_count,nearest_heteroatom_distance,local_conjugation,local_formal_charge,error
Cc1cc(C(=O)O)c2ccccc2c1,3.72,3.91,Cc1cc(C(=O)O)c2ccccc2c1,186.21,2.84642,37.3,1,1,1,2,0.083333,0,0,1,0,1,0,2,1,0,
Cc1cc(C(=O)O)cc(C)c1C,4.52,4.24,Cc1cc(C(=O)O)cc(C)c1C,164.204,2.31006,37.3,1,1,1,1,0.3,0,0,1,0,1,0,2,1,0,
Cc1cc(C)c(C(=O)O)c(C)c1,3.498,3.35,Cc1cc(C)c(C(=O)O)c(C)c1,164.204,2.31006,37.3,1,1,1,1,0.3,0,0,1,0,1,0,2,1,0,
Cc1cc(C)c(C(=O)O)cc1C,4.38,3.95,Cc1cc(C)c(C(=O)O)cc1C,164.204,2.31006,37.3,1,1,1,1,0.3,0,0,1,0,1,0,2,1,0,
Cc1cc(C)c(C)c(C(=O)O)c1,4.01,3.64,Cc1cc(C)c(C)c(C(=O)O)c1,164.204,2.31006,37.3,1,1,1,1,0.3,0,0,1,0,1,0,2,1,0,
Cc1cc(C)c(C)c(C(=O)O)c1C,3.416,3.48,Cc1cc(C)c(C)c(C(=O)O)c1C,178.231,2.61848,37.3,1,1,1,1,0.363636,0,0,1,0,1,0,2,1,0,
Cc1cc(C)cc(C(=O)O)c1,4.343999999999999,4.24,Cc1cc(C)cc(C(=O)O)c1,150.177,2.00164,37.3,1,1,1,1,0.222222,0,0,1,0,1,0,2,1,0,
Cc1cc([N+](=O)[O-])c(C)c(C(=O)O)c1O,2.78,2.42,Cc1cc([N+](=O)[O-])c(C)c(C(=O)O)c1O,211.173,1.61544,100.67,4,2,2,1,0.222222,0,0,1,0,1,0,2,1,0,
Cc1cc2ccccc2c(C(=O)O)c1C,2.831,3.33,Cc1cc2ccccc2c(C(=O)O)c1C,200.237,3.15484,37.3,1,1,1,2,0.153846,0,0,1,0,1,0,2,1,0,
Cc1ccc(C(=O)O)c(C)c1,4.2595,4.0,Cc1ccc(C(=O)O)c(C)c1,150.177,2.00164,37.3,1,1,1,1,0.222222,0,0,1,0,1,0,2,1,0,
Cc1ccc(C(=O)O)c(C)c1C,4.06,3.63,Cc1ccc(C(=O)O)c(C)c1C,164.204,2.31006,37.3,1,1,1,1,0.3,0,0,1,0,1,0,2,1,0,
