SMILES,pka_value
N=C(N)NCCC[C@@H](NC(=O)[C@H](N)Cc1ccc(O)cc1)C(=O)O,7.47
N=C(N)NCCC[C@H](NC(=O)c1ccccc1)C(=O)O,3.3200000000000003
NC(=O)C(N)CCC(=O)O,3.81
NC(=O)C(O)[C@H](N)C(=O)O,2.09
NC(=O)CC[C@H](N)C(=O)NCC(=O)O,3.15
NC(=O)CC[C@H](N)C(=O)O,2.17
NC(=O)C[C@@](N)(O)C(=O)O,2.28
NC(=O)C[C@H](N)C(=O)O,2.06
NC(=O)NCCC[C@H](N)C(=O)O,2.43
NC(C(=O)O)C(CC(=O)O)C(=O)O,2.1
NC(CC(=O)O)C(F)(F)F,2.76
NC(CC(=O)O)c1ccccc1,2.2
NC(CC(F)(F)F)C(=O)O,1.6
NC(Cc1c(F)c(F)c(F)c(F)c1F)C(=O)O,1.88
NC(Cc1c[nH]cn1)C(=O)O,6.05
NC(N)=NCC(=O)O,2.82
NC(N)=NCCC[C@H](N)C(=O)O,9.0284
NC(N)=NOCC[C@H](N)C(=O)O,6.6
NC1=NC(C(=O)O)CS1,2.03
NCC(=O)N1CCC[C@H]1C(=O)O,2.825
NCC(=O)NCC(=O)NCC(=O)NC(Cc1c[nH]cn1)C(=O)O,6.85
NCC(=O)NCC(=O)NCC(=O)NCC(=O)O,3.21
NCC(=O)NCC(=O)NCC(=O)O,3.3921428571428573
NCC(=O)NCC(=O)O,3.16107
NCC(=O)N[C@@H](CC(N)=O)C(=O)O,2.942
NCC(=O)N[C@@H](CO)C(=O)NCC(=O)O,3.23
NCC(=O)N[C@@H](CO)C(=O)O,2.9504
NCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O,6.77
NCC(=O)N[C@@H](Cc1ccccc1)C(=O)O,3.12
NCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O,6.79
NCC(=O)O,2.42744375
NCC(N)C(=O)O,6.795
NCC(O)C(=O)O,2.72
NCC(O)CC(=O)O,3.8
NCCC(=O)O,3.5755
NCCCC(=O)O,4.0206
NCCCCC(=O)O,4.1466666666666665
NCCCCCC(=O)O,4.373
NCCCCCCC(=O)O,4.502
NCCCC[C@H](N)C(=O)O,9.138333333333334
NCCC[C@H](N)C(=O)O,1.8225
NCC[C@H](N)C(=O)O,8.31
NC[C@H](N)C(=O)O,6.76
NCc1ccc(CC(=O)O)cc1,3.88
NCc1cccc(CC(=O)O)c1,3.83
NNc1ccc(C(=O)O)cc1,4.13
NNc1cccc(C(=O)O)c1,3.54
NNc1ccccc1C(=O)O,3.45
NOCC[C@H](N)C(=O)O,3.7
N[C@@H](CC(=O)O)C(=O)O,1.985
