Smiles,pKa,predicted_pKa
O=C(O)c1cc2ccccc2cc1O,2.75,2.94
O=C(O)c1ccc(Br)c2ccccc12,3.37,3.77
O=C(O)c1ccc(Br)cc1,3.963,3.93
O=C(O)c1ccc(Br)cc1C(=O)O,2.5,3.21
O=C(O)c1ccc(Br)cc1O,2.669,3.36
O=C(O)c1ccc(C(=O)O)c(C(=O)O)c1,2.53,3.0
O=C(O)c1ccc(C2CC2)cc1,4.44,4.35
O=C(O)c1ccc(C=C[N+](=O)[O-])cc1,3.94,4.09
O=C(O)c1ccc(Cl)c(Cl)c1,3.64,3.73
O=C(O)c1ccc(Cl)c2ccccc12,3.36,3.76
O=C(O)c1ccc(Cl)cc1,3.988,3.93
O=C(O)c1ccc(Cl)cc1Cl,2.73,3.03
O=C(O)c1ccc(F)c2ccccc12,3.7,3.78
O=C(O)c1ccc(F)cc1,3.907428571428572,4.06
O=C(O)c1ccc(I)cc1,3.9635,3.98
O=C(O)c1ccc(I)cc1O,2.75,3.42
O=C(O)c1ccc(O)c(O)c1,4.3755,4.42
O=C(O)c1ccc(O)cc1,4.566666666666666,4.61
O=C(O)c1ccc(O)cc1O,3.20875,2.95
O=C(O)c1ccc([N+](=O)[O-])c2ccccc12,2.8,3.6
O=C(O)c1ccc([N+](=O)[O-])cc1,3.2511666666666668,3.68
O=C(O)c1ccc([N+](=O)[O-])cc1O,2.27,2.3
O=C(O)c1ccc2c(c1)OCCO2,4.35,4.1
O=C(O)c1ccc2c(c1)OCO2,4.5,4.2
O=C(O)c1ccc2ccccc2c1,4.343666666666667,3.97
O=C(O)c1ccc2ncccc2c1,4.82,3.34
O=C(O)c1ccc2nccnc2c1,3.64,0.62
O=C(O)c1cccc(Br)c1,3.813,3.84
O=C(O)c1cccc(Br)c1C(=O)O,2.27,3.13
O=C(O)c1cccc(C(=O)O)c1,3.7,3.75
O=C(O)c1cccc(C(=O)O)c1C(=O)O,2.84,3.27
O=C(O)c1cccc(C=C[N+](=O)[O-])c1,3.87,4.05
O=C(O)c1cccc(Cl)c1,3.8295,3.81
O=C(O)c1cccc(F)c1,3.626714285714286,3.84
O=C(O)c1cccc(I)c1O,2.52,2.56
O=C(O)c1cccc(O)c1,4.19,4.35
O=C(O)c1cccc(O)c1O,2.914,2.73
O=C(O)c1cccc([N+](=O)[O-])c1,3.293333333333333,3.6
O=C(O)c1cccc([N+](=O)[O-])c1O,2.085,2.3
O=C(O)c1cccc2ccccc12,3.80925,3.92
O=C(O)c1cccc2cccnc12,6.8,3.34
O=C(O)c1cccc2nccnc12,4.026,0.52
O=C(O)c1ccccc1,4.093071428571428,3.98
O=C(O)c1ccccc1C(=O)O,2.813333333333333,3.51
O=C(O)c1ccccc1C(=O)c1ccccc1,3.536,3.64
O=C(O)c1ccccc1Cl,3.063333333333333,3.16
O=C(O)c1ccccc1Nc1ccccc1,3.925,4.11
O=C(O)c1ccccc1O,2.9423076923076925,3.24
O=C(O)c1ccccc1P(O)O,1.32,3.83
O=C(O)c1ccccc1[N+](=O)[O-],2.1083333333333334,3.04
O=Cc1ccc(C(=O)O)cc1,3.76,3.81
O=Cc1cccc(C(=O)O)c1,3.84,3.83
