Smiles,pKa,predicted_pKa
CN1[C@H]2CC[C@@H]1[C@@H](C(=O)O)[C@@H](OC(=O)c1ccccc1)C2,11.8,2.9
CNc1ccc(C(=O)O)cc1,5.04,4.52
CNc1cccc(C(=O)O)c1,5.1,4.43
CNc1ccccc1C(=O)O,5.34,4.06
COC(=O)C12CCC(C(=O)O)(CC1)C2,4.494,4.64
COC(=O)C1=C(C(=O)O)C2C=CC1C2,3.02,4.0
COC(=O)C1=C(C(=O)O)C2CCC1C2,3.19,4.3
COC(=O)C1=C(C(=O)O)CC1,3.19,3.8
COC(=O)C1=C(C(=O)O)CCC1,2.94,3.74
COC(=O)C1C(C(=O)O)C1(c1ccccc1)c1ccccc1,5.17,3.7
COC(=O)[C@@H]1CC[C@H](CC1)C(=O)O,4.66,4.77
COC(=O)c1ccc(C(=O)O)nc1,3.62,1.54
COC(=O)c1cccc(C(=O)O)n1,2.65,0.53
COC(=O)c1ccnc(C(=O)O)c1,3.71,1.46
COC(=O)c1cocc1C(=O)O,3.75,3.49
COC1=C(C=CC(=C1)OC)/C=C/C(=O)O,4.8,4.52
COC1=C(C=CC=C1OC)/C=C/C(=O)O,4.37,4.5
COC=1C=C(C=C(C1)OC)/C=C/C(=O)O,4.36,4.45
COC=1C=C(C=CC1OC)/C=C/C(=O)O,4.53,4.48
COP(=O)(OC)c1ccc(C(=O)O)cc1,3.61,3.99
COP(=O)(OC)c1cccc(C(=O)O)c1,3.74,3.84
CO[C@@H]1CC[C@H](CC1)C(=O)O,4.66,4.68
COc1cc(/C=C/C(=O)O)ccc1O,4.55,4.49
COc1cc(C(=O)O)cc(OC)c1O,4.34,4.45
COc1cc(C(=O)O)cc(OC)c1OC,4.166666666666667,4.48
COc1cc(C(=O)O)cc([N+](=O)[O-])c1O,4.12,3.67
COc1cc(C(=O)O)ccc1O,4.49,4.53
COc1cc(CC(=O)O)ccc1O,4.41,4.15
COc1cc(OC)cc(C(=O)O)c1,3.97,4.51
COc1cc([N+](=O)[O-])cc(C(=O)O)c1O,2.58,1.96
COc1cc2ccccc2cc1C(=O)O,3.8,4.13
COc1ccc(C(=O)O)c(C(=O)O)c1,2.67,3.63
COc1ccc(C(=O)O)c(N)c1,4.88,4.24
COc1ccc(C(=O)O)c(O)c1,3.31,3.47
COc1ccc(C(=O)O)c(OC)c1,4.36,4.56
COc1ccc(C(=O)O)c2ccccc12,4.31,4.5
COc1ccc(C(=O)O)cc1,4.2783750000000005,4.54
COc1ccc(C(=O)O)cc1O,4.47,4.54
COc1ccc(C(=O)O)cc1OC,4.395,4.52
COc1ccc(C(=O)O)s1,3.8,3.33
COc1ccc(C(O)C(=O)O)cc1,3.42,3.76
COc1ccc(C2CC2C(=O)O)cc1,4.62,4.56
COc1ccc(C=O)c(C(=O)O)c1OC,3.065,3.29
COc1ccc(CC(=O)O)cc1,4.07,4.14
COc1ccc(CCC(=O)O)cc1,4.71,4.45
COc1ccc(C[C@H](N)C(=O)O)cc1,9.31,2.38
COc1ccc(N)c(C(=O)O)c1,5.57,4.23
COc1ccc(NCC(=O)O)cc1,5.096,3.42
COc1ccc(O)c(C(=O)O)c1,2.94,3.12
COc1ccc(S(=O)(=O)CC(=O)O)cc1,2.602,2.8
COc1ccc(S(=O)CC(=O)O)cc1,2.754,2.84
COc1ccc(SCC(=O)O)cc1,3.7,3.73
COc1ccc2c(CC(N)C(=O)O)c[nH]c2c1,16.7,2.52
COc1cccc(C(=O)O)c1,3.8745,4.42
COc1cccc(C(=O)O)c1OC,3.98,3.88
COc1cccc(NCC(=O)O)c1,4.135,3.41
COc1cccc(OC)c1C(=O)O,3.44,3.94
COc1cccc(S(=O)(=O)CC(=O)O)c1,2.588,2.88
COc1cccc(SCC(=O)O)c1,3.546,3.69
COc1ccccc1C(=O)O,3.9,4.29
COc1ccccc1C(O)C(=O)O,3.64,3.71
COc1coc(C(=O)O)cc1=O,1.53,1.53
CS(=O)(=O)c1ccc(OCC(=O)O)cc1,2.85,3.38
CSc1cccc(SCC(=O)O)c1,3.468,3.68
C[C@@H](N)C(=O)N1CCC[C@H]1C(=O)O,8.38,2.99
C[C@@H]1[C@@H](C1)C(=O)O,5.02,4.75
C[C@H](NCc1ccccc1)C(=O)NCC(=O)O,7.05,3.16
