cas,smiles,canonical_smiles,pka_value
1643-26-1,O=C(O)CCC=1C=CC=CC1F,O=C(O)CCc1ccccc1F,4.6
626-51-7,O=C(O)CC(C)CC(=O)O,CC(CC(=O)O)CC(=O)O,4.31
13041-62-8,O=C(O)C1=CC=C(OC)C=2C=CC=CC12,COc1ccc(C(=O)O)c2ccccc12,4.31
6925-00-4,O=C(O)C1=CC=C2N=CC=NC2=C1,O=C(O)c1ccc2nccnc2c1,3.64
10421-85-9,O=C(O)C(O)C=1C=CC=CC1Cl,O=C(O)C(O)c1ccccc1Cl,3.31
111-17-1,O=C(O)CCSCCC(=O)O,O=C(O)CCSCCC(=O)O,3.84
51-44-5,O=C(O)C1=CC=C(Cl)C(Cl)=C1,O=C(O)c1ccc(Cl)c(Cl)c1,3.64
89-55-4,O=C(O)C1=CC(Br)=CC=C1O,O=C(O)c1cc(Br)ccc1O,2.6514
588-32-9,O=C(O)COC=1C=CC=C(Cl)C1,O=C(O)COc1cccc(Cl)c1,3.04
16730-20-4,O=C(O)C1=CC=2C=C(C=CC2N1)N(=O)=O,O=C(O)c1cc2cc([N+](=O)[O-])ccc2[nH]1,14.91
298-12-4,O=CC(=O)O,O=CC(=O)O,3.22
595-37-9,O=C(O)C(C)(C)CC,CCC(C)(C)C(=O)O,4.93
627-03-2,O=C(O)COCC,CCOCC(=O)O,3.84
